"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","area"
"45",2,2,"Aug","2",94.8,108.3,647.1,17,24.6,22,4.5,8.71
"46",4,5,"Sep","3",92.9,133.3,699.6,9.2,24.3,25,4,9.41
"47",2,2,"Aug","2",94.8,108.3,647.1,17,24.6,22,4.5,10.01
"48",2,5,"Aug","5",93.9,135.7,586.7,15.1,23.5,36,5.4,10.02
"49",6,5,"Apr","4",81.5,9.1,55.2,2.7,5.8,54,5.8,10.93
"50",4,5,"Sep","4",92.9,137,706.4,9.2,21.5,15,0.9,11.06
"51",3,4,"Sep","2",91,129.5,692.6,7,13.9,59,6.3,11.24
"52",2,4,"Sep","1",63.5,70.8,665.3,0.8,22.6,38,3.6,11.32
"53",1,5,"Sep","2",91,129.5,692.6,7,21.6,33,2.2,11.53
"54",6,5,"Mar","7",90.1,37.6,83.7,7.2,12.4,54,3.6,12.1
"55",7,4,"Feb","7",83.9,8.7,32.1,2.1,8.8,68,2.2,13.05
"56",8,6,"Oct","3",91.4,37.9,673.8,5.2,20.2,37,2.7,13.7
"57",5,6,"Mar","6",90.6,50.1,100.4,7.8,15.1,64,4,13.99
"58",4,5,"Sep","4",92.9,137,706.4,9.2,22.1,34,1.8,14.57
"59",2,2,"Aug","6",93.5,139.4,594.2,20.3,22.9,31,7.2,15.45
"60",7,5,"Sep","2",91,129.5,692.6,7,20.7,37,2.2,17.2
"61",6,5,"Sep","5",92.4,117.9,668,12.2,19.6,33,6.3,19.23
"62",8,3,"Sep","4",93.7,80.9,685.2,17.9,23.2,26,4.9,23.41
"63",4,4,"Oct","6",90.6,43.7,686.9,6.7,18.4,25,3.1,24.23
"64",7,4,"Aug","6",93.5,139.4,594.2,20.3,5.1,96,5.8,26
"65",7,4,"Sep","5",94.3,85.1,692.3,15.9,20.1,47,4.9,26.13
"66",7,3,"Mar","1",87.6,52.2,103.8,5,11,46,5.8,27.35
"67",4,4,"Mar","6",91.7,35.8,80.8,7.8,17,27,4.9,28.66
"68",4,4,"Mar","6",91.7,35.8,80.8,7.8,17,27,4.9,28.66
"69",4,4,"Sep","7",92.4,124.1,680.7,8.5,16.9,60,1.3,29.48
"70",1,3,"Sep","1",88.6,91.8,709.9,7.1,12.4,73,6.3,30.32
"71",4,5,"Sep","3",92.9,133.3,699.6,9.2,19.4,19,1.3,31.72
"72",6,5,"Mar","1",90.1,39.7,86.6,6.2,15.2,27,3.1,31.86
"73",8,6,"Aug","7",90.2,99.6,631.2,6.3,16.2,59,3.1,32.07
"74",3,4,"Sep","5",93.3,141.2,713.9,13.9,18.6,49,3.6,35.88
"75",4,3,"Mar","1",87.6,52.2,103.8,5,11,46,5.8,36.85
"76",2,2,"Jul","5",88.3,150.3,309.9,6.8,13.4,79,3.6,37.02
"77",7,4,"Sep","3",90.1,82.9,735.7,6.2,15.4,57,4.5,37.71
"78",4,4,"Sep","7",93.5,149.3,728.6,8.1,22.9,39,4.9,48.55
"79",7,5,"Oct","1",91.7,48.5,696.1,11.1,16.1,44,4,49.37
"80",8,6,"Aug","6",92.2,81.8,480.8,11.9,20.1,34,4.5,58.3
"81",4,6,"Sep","7",93.5,149.3,728.6,8.1,28.3,26,3.1,64.1
"82",8,6,"Aug","6",92.2,81.8,480.8,11.9,16.4,43,4,71.3
"83",4,4,"Sep","3",92.9,133.3,699.6,9.2,26.4,21,4.5,88.49
"84",1,5,"Sep","7",93.5,149.3,728.6,8.1,27.8,27,3.1,95.18
"85",6,4,"Sep","2",91,129.5,692.6,7,18.7,43,2.7,103.39
"86",9,4,"Sep","2",84.4,73.4,671.9,3.2,24.3,36,3.1,105.66
"87",4,5,"Sep","6",92.5,121.1,674.4,8.6,17.7,25,3.1,154.88
"88",8,6,"Aug","7",91.4,142.4,601.4,10.6,19.6,41,5.8,196.48
"89",2,2,"Sep","6",92.5,121.1,674.4,8.6,18.2,46,1.8,200.94
"90",1,2,"Sep","2",91,129.5,692.6,7,18.8,40,2.2,212.88
"91",6,5,"Sep","6",92.5,121.1,674.4,8.6,25.1,27,4,1090.84
"92",2,4,"Aug","7",94.2,122.3,589.9,12.9,15.4,66,4,10.13
"93",2,4,"Aug","7",91.8,175.1,700.7,13.8,22.4,54,7.6,2.87
"94",3,4,"Aug","3",93.1,157.3,666.7,13.5,21.7,40,0.4,2.47
"95",7,4,"Aug","4",91.9,109.2,565.5,8,21.4,38,2.7,1.52
"96",6,3,"Aug","4",91.6,138.1,621.7,6.3,18.9,41,3.1,10.34
"97",8,6,"Aug","6",94.2,117.2,581.1,11,23.9,41,2.2,8.02
"98",7,4,"Aug","6",91.8,170.9,692.3,13.7,23.7,40,1.8,1.38
"99",2,4,"Aug","1",93.6,97.9,542,14.4,28.3,32,4,8.85
"100",3,4,"Aug","5",91.6,112.4,573,8.9,11.2,84,7.6,3.3
"101",2,4,"Aug","5",91.6,112.4,573,8.9,21.4,42,3.1,4.25
"102",6,3,"Aug","5",91.1,141.1,629.1,7.1,19.3,39,3.6,1.56
"103",4,4,"Aug","5",94.3,167.6,684.4,13,21.8,53,3.1,6.54
"104",4,4,"Aug","2",92.1,152.6,658.2,14.3,19.1,53,2.7,4.4
"105",8,6,"Aug","2",92.1,152.6,658.2,14.3,20.1,58,4.5,9.27
"106",2,5,"Aug","2",92.1,152.6,658.2,14.3,20.2,47,4,3.09
"107",4,6,"Dec","7",84.4,27.2,353.5,6.8,4.8,57,8.5,8.98
"108",8,6,"Dec","3",84,27.8,354.6,5.3,5.1,61,8,11.19
"109",4,6,"Dec","4",84.6,26.4,352,2,5.1,61,4.9,5.38
"110",4,4,"Dec","1",85.4,25.4,349.7,2.6,4.6,21,8.5,17.85
"111",3,4,"Dec","1",85.4,25.4,349.7,2.6,4.6,21,8.5,10.73
"112",4,4,"Dec","1",85.4,25.4,349.7,2.6,4.6,21,8.5,22.03
"113",4,4,"Dec","1",85.4,25.4,349.7,2.6,4.6,21,8.5,9.77
"114",4,6,"Dec","5",84.7,26.7,352.6,4.1,2.2,59,4.9,9.27
"115",6,5,"Dec","2",85.4,25.4,349.7,2.6,5.1,24,8.5,24.77
"116",3,4,"Feb","3",86.9,6.6,18.7,3.2,8.8,35,3.1,1.1
"117",5,4,"Feb","5",85.2,4.9,15.8,6.3,7.5,46,8,24.24
"118",9,4,"Jul","6",91.6,104.2,474.9,9,25.3,39,0.9,8
"119",4,5,"Jul","5",91.6,100.2,466.3,6.3,22.9,40,1.3,2.64
"120",7,6,"Jul","2",93.1,180.4,430.8,11,26.9,28,5.4,86.45
"121",8,6,"Jul","2",92.3,88.8,440.9,8.5,17.1,67,3.6,6.57
"122",6,5,"Jun","1",90.4,93.3,298.1,7.5,19.1,39,5.4,3.52
"123",3,4,"Sep","7",89.6,84.1,714.3,5.7,23.8,35,3.6,5.18
"124",6,3,"Sep","7",92.4,105.8,758.1,9.9,24.8,28,1.8,14.29
"125",4,4,"Sep","3",92.6,115.4,777.1,8.8,19.7,41,1.8,1.58
"126",4,4,"Sep","4",92.4,96.2,739.4,8.6,19.2,24,4.9,3.78
"127",5,4,"Sep","4",92.8,119,783.5,7.5,21.6,28,6.3,4.41
"128",6,3,"Sep","4",92.8,119,783.5,7.5,18.9,34,7.2,34.36
"129",1,4,"Sep","4",92.8,119,783.5,7.5,16.8,28,4,7.21
"130",6,5,"Sep","4",92.8,119,783.5,7.5,16.8,28,4,1.01
"131",3,5,"Sep","4",90.7,136.9,822.8,6.8,12.9,39,2.7,2.18
"132",6,5,"Sep","4",88.1,53.3,726.9,5.4,13.7,56,1.8,4.42
"133",4,3,"Sep","6",92.2,102.3,751.5,8.4,23.5,27,4,3.33
"134",3,3,"Sep","6",92.2,102.3,751.5,8.4,24.2,27,3.1,6.58
"135",7,4,"Sep","6",91.2,124.4,795.3,8.5,21.5,28,4.5,15.64
"136",4,4,"Sep","6",91.2,124.4,795.3,8.5,17.1,41,2.2,11.22
"137",1,4,"Sep","1",92.1,87.7,721.1,9.5,18.1,54,3.1,2.13
"138",6,3,"Sep","1",91.6,108.4,764,6.2,23,34,2.2,56.04
"139",8,6,"Sep","1",91.6,108.4,764,6.2,22.7,35,2.2,7.48
"140",2,4,"Sep","1",91.6,108.4,764,6.2,20.4,41,1.8,1.47
"141",2,5,"Sep","1",91.6,108.4,764,6.2,19.3,44,2.2,3.93
"142",8,6,"Sep","1",91.5,130.1,807.1,7.5,15.9,51,4.5,2.18
"143",6,3,"Sep","1",91.5,130.1,807.1,7.5,12.2,66,4.9,6.1
"144",2,2,"Sep","1",91.5,130.1,807.1,7.5,16.8,43,3.1,5.83
"145",1,4,"Sep","1",91.5,130.1,807.1,7.5,21.3,35,2.2,28.19
"146",5,4,"Sep","5",92.1,99,745.3,9.6,12.8,64,3.6,1.64
"147",5,4,"Sep","5",92.1,99,745.3,9.6,10.1,75,3.6,3.71
"148",4,4,"Sep","5",92.1,99,745.3,9.6,15.4,53,6.3,7.31
"149",7,4,"Sep","5",92.1,99,745.3,9.6,20.6,43,3.6,2.03
"150",7,4,"Sep","5",92.1,99,745.3,9.6,19.8,47,2.7,1.72
"151",7,4,"Sep","5",92.1,99,745.3,9.6,18.7,50,2.2,5.97
"152",4,4,"Sep","5",92.1,99,745.3,9.6,20.8,35,4.9,13.06
"153",4,4,"Sep","5",92.1,99,745.3,9.6,20.8,35,4.9,1.26
"154",1,4,"Sep","5",92.5,122,789.7,10.2,21.1,39,2.2,8.12
"155",6,5,"Sep","5",92.5,122,789.7,10.2,18.4,42,2.2,1.09
"156",4,3,"Sep","5",92.5,122,789.7,10.2,17.3,45,4,3.94
"157",4,3,"Sep","2",91.9,111.7,770.3,6.5,15.9,53,2.2,2.93
"158",6,5,"Sep","2",91.9,111.7,770.3,6.5,21.1,35,2.7,5.65
"159",6,5,"Sep","2",91.9,111.7,770.3,6.5,19.6,45,3.1,20.03
"160",4,5,"Sep","2",91.1,132.3,812.1,12.5,15.9,38,5.4,1.75
"161",6,5,"Sep","6",91.2,94.3,744.4,8.4,16.8,47,4.9,12.64
"162",7,4,"Sep","7",91,276.3,825.1,7.1,13.8,77,7.6,11.06
"163",6,5,"Sep","5",90.3,290,855.3,7.4,10.3,78,4,18.3
"164",6,5,"Sep","6",91.2,94.3,744.4,8.4,15.4,57,4.9,39.35
"165",2,2,"Aug","6",93.7,231.1,715.1,8.4,21.9,42,2.2,174.63
"166",5,4,"Jul","3",93.7,101.3,458.8,11.9,19.3,39,7.2,7.73
"167",8,6,"Aug","4",90.7,194.1,643,6.8,16.2,63,2.7,16.33
"168",8,6,"Aug","3",95.2,217.7,690,18,28.2,29,1.8,5.86
"169",9,6,"Aug","4",91.6,248.4,753.8,6.3,20.5,58,2.7,42.87
"170",8,4,"Aug","6",91.6,273.8,819.1,7.7,21.3,44,4.5,12.18
"171",2,4,"Aug","7",91.6,181.3,613,7.6,20.9,50,2.2,16
"172",3,4,"Sep","7",90.5,96.7,750.5,11.4,20.6,55,5.4,24.59
"173",6,4,"Aug","5",94.8,227,706.7,12,23.3,34,3.1,28.74
"174",7,4,"Feb","1",84.7,9.5,58.3,4.1,7.5,71,6.3,9.96
"175",8,6,"Sep","5",91.1,91.3,738.1,7.2,20.7,46,2.7,30.18
"176",1,3,"Sep","7",91,276.3,825.1,7.1,21.9,43,4,70.76
"177",4,5,"Feb","7",85,9,56.9,3.5,10.1,62,1.8,51.78
"178",4,3,"Sep","7",90.5,96.7,750.5,11.4,20.4,55,4.9,3.64
"179",5,6,"Aug","7",91.6,181.3,613,7.6,24.3,33,3.6,3.63
"180",9,5,"Jun","3",93.3,49.5,297.7,14,28,34,4.5,8.16
"181",3,4,"Sep","4",91.1,88.2,731.7,8.3,22.8,46,4,4.95
"182",2,4,"Sep","3",87.9,84.8,725.1,3.7,21.8,34,2.2,6.04
"183",6,5,"Sep","6",87.1,291.3,860.6,4,17,67,4.9,3.95
"184",4,3,"Sep","5",90.3,290,855.3,7.4,19.9,44,3.1,7.8
"185",7,4,"Feb","5",84.6,3.2,43.6,3.3,8.2,53,9.4,4.62
"186",9,4,"Jul","1",92.3,92.1,442.1,9.8,22.8,27,4.5,1.63
"187",8,6,"Aug","4",94.8,222.4,698.6,13.9,27.5,27,4.9,746.28
"188",6,3,"Jul","2",92.7,164.1,575.8,8.9,26.3,39,3.1,7.02
"189",2,4,"Aug","7",92,203.2,664.5,8.1,24.9,42,5.4,2.44
"190",2,5,"Aug","7",91.6,181.3,613,7.6,24.8,36,4,3.05
"191",8,8,"Aug","3",91.7,191.4,635.9,7.8,26.2,36,4.5,185.76
"192",8,6,"Jul","7",88.9,263.1,795.9,5.2,29.3,27,3.6,6.3
"193",8,6,"Aug","6",93.7,231.1,715.1,8.4,26.9,31,3.6,4.96
"194",2,4,"Aug","1",92.1,207,672.6,8.2,27.9,33,2.2,2.35
"195",3,4,"Aug","7",91.6,181.3,613,7.6,24.6,44,4,3.2
"196",1,3,"Aug","6",92.1,178,605.3,9.6,23.3,40,4,6.36
"197",2,4,"Aug","7",93.6,235.1,723.1,10.1,20.9,66,4.9,15.34
"198",2,5,"Aug","6",93.7,231.1,715.1,8.4,23.6,53,4,6.43
"199",8,6,"Aug","1",92.1,207,672.6,8.2,25.5,29,1.8,1.23
"200",6,5,"Apr","1",87.9,24.9,41.6,3.7,10.9,64,3.1,3.35
"201",2,5,"Sep","5",90.3,290,855.3,7.4,16.2,58,3.6,9.96
"202",4,5,"Aug","3",95.2,217.7,690,18,23.4,49,5.4,6.43
"203",1,4,"Aug","5",90.5,196.8,649.9,16.3,11.8,88,4.9,9.71
"204",1,4,"Aug","3",91.7,191.4,635.9,7.8,19.9,50,4,82.75
"205",8,6,"Aug","6",93.7,231.1,715.1,8.4,18.9,64,4.9,3.32
"206",7,4,"Aug","6",91.6,273.8,819.1,7.7,15.5,72,8,1.94
"207",1,4,"Sep","7",91,276.3,825.1,7.1,14.5,76,7.6,3.71
"208",6,5,"Feb","2",75.1,4.4,16.2,1.9,4.6,82,6.3,5.39
"209",6,4,"Feb","2",75.1,4.4,16.2,1.9,5.1,77,5.4,2.14
"210",2,2,"Feb","6",79.5,3.6,15.3,1.8,4.6,59,0.9,6.84
"211",6,5,"Mar","1",87.2,15.1,36.9,7.1,10.2,45,5.8,3.18
"212",3,4,"Mar","3",90.2,18.5,41.1,7.3,11.2,41,5.4,5.55
"213",6,5,"Mar","4",91.3,20.6,43.5,8.5,13.3,27,3.6,6.61
"214",6,3,"Apr","7",91,14.6,25.6,12.3,13.7,33,9.4,61.13
"215",4,3,"May","5",89.6,25.4,73.7,5.7,18,40,4,38.48
"216",8,3,"Jun","1",88.2,96.2,229,4.7,14.3,79,4,1.94
"217",9,4,"Jun","6",90.5,61.1,252.6,9.4,24.5,50,3.1,70.32
"218",4,3,"Jun","4",93,103.8,316.7,10.8,26.4,35,2.7,10.08
"219",2,5,"Jun","4",93.7,121.7,350.2,18,22.7,40,9.4,3.19
"220",4,3,"Jul","4",93.5,85.3,395,9.9,27.2,28,1.3,1.76
"221",4,3,"Jul","7",93.7,101.3,423.4,14.7,26.1,45,4,7.36
"222",7,4,"Jul","7",93.7,101.3,423.4,14.7,18.2,82,4.5,2.21
"223",7,4,"Jul","1",89.2,103.9,431.6,6.4,22.6,57,4.9,278.53
"224",9,9,"Jul","4",93.2,114.4,560,9.5,30.2,25,4.5,2.75
"225",3,4,"Aug","7",94.9,130.3,587.1,14.1,23.4,40,5.8,1.29
"226",2,5,"Aug","7",94.9,130.3,587.1,14.1,33.1,25,4,26.43
"227",2,4,"Aug","1",95,135.5,596.3,21.3,30.6,28,3.6,2.07
"228",5,4,"Aug","2",95.1,141.3,605.8,17.7,24.1,43,6.3,2
"229",5,4,"Aug","2",95.1,141.3,605.8,17.7,26.4,34,3.6,16.4
"230",4,4,"Aug","2",95.1,141.3,605.8,17.7,19.4,71,7.6,46.7
"231",1,3,"Aug","5",95.9,158,633.6,11.3,27.5,29,4.5,43.32
"232",6,6,"Aug","6",96,164,643,14,30.8,30,4.9,8.59
"233",4,5,"Aug","1",96.2,175.5,661.8,16.8,32.6,26,3.1,2.77
"234",3,4,"Aug","2",96.1,181.1,671.2,14.3,32.3,27,2.2,14.68
"235",6,5,"Aug","2",96.1,181.1,671.2,14.3,33.3,26,2.7,40.54
"236",7,5,"Aug","2",96.1,181.1,671.2,14.3,27.3,63,4.9,10.82
"237",2,4,"Aug","3",94.5,139.4,689.1,20,29.2,30,4.9,1.95
"238",4,3,"Aug","3",94.5,139.4,689.1,20,28.9,29,4.9,49.59
"239",1,2,"Aug","4",91,163.2,744.4,10.1,26.7,35,1.8,5.8
"240",5,4,"Aug","5",91,166.9,752.6,7.1,21.1,71,7.6,2.17
"241",4,3,"Aug","7",81.6,56.7,665.6,1.9,27.8,32,2.7,6.44
"242",2,4,"Aug","7",81.6,56.7,665.6,1.9,21.9,71,5.8,54.29
"243",7,4,"Aug","7",81.6,56.7,665.6,1.9,21.2,70,6.7,11.16
